id,content,has_discipline,has_major,has_university
1348,I don’t mind large lecture classes with hundreds of students.,False,False,True
1347,"I want very selective, high-rigor programs.",False,False,True
1346,"I want strong media, arts, and policy programs.",False,False,True
1345,I want a mix of liberal arts and research.,False,False,True
1344,I want a school with global recognition.,False,False,True
1343,I want strong spiritual life options at the school.,False,False,True
1342,I want to be part of a strong alumni networks for future jobs.,False,False,True
1340,I want access to leading world-class research.,False,False,True
1339,I want to feel school spirit at big sports games.,False,False,True
1338,I care about the school's global reputation and prestige.,False,False,True
1336,I want the school to provide support for international students.,False,False,True
1334,I want applied learning over theory.,False,False,True
1333,I want campuses with makerspaces and workshops.,False,False,True
1332,I want to focus on solving current math and science problems.,False,False,True
1331,I want the option to study abroad for some semesters.,False,False,True
1330,I want the school to offer career services tied to my chosen industry.,False,False,True
1329,I want schools where I can have an active city life.,False,False,True
1328,I want a strong focus on engineering and technology.,False,False,True
1327,I want large but academically strong campuses.,False,False,True
1326,I want commuter-friendly options.,False,False,True
1325,I want to have access to multiple clubs and activities on campus.,False,False,True
1324,I want a faith-based campus community.,False,False,True
1323,I want to attend a school that focuses strongly on research.,False,False,True
1322,I want to attend a large private school in a city.,False,False,True
1321,I'd prefer a smaller student-faculty ratio.,False,False,True
1320,I want a supportive and collaborative campus culture.,False,False,True
1319,"I want many majors and programs to choose from, so that I can change my mind if I want to.",False,False,True
1318,"I want practical, career-focused programs.",False,False,True
1317,I want to study at a small college with close faculty contact.,False,False,True
1316,I want a built-in co-op program.,False,False,True
1315,I want to study under professors who are active in science and tech research.,False,False,True
1314,I want to study in a large city.,False,False,True
1313,I want to be able to have access to travel and have global opportunities while studying.,False,False,True
1312,"I want to study at a school with strong links to tech companies, so that I can work there later.",False,False,True
1310,I want to attend a school focused on teaching rather than practicing.,False,False,True
1309,I want to be able to choose from many internship opportunities.,False,False,True
1308,I prefer smaller classes and close contact with faculty.,False,False,True
1307,I want strong traditions and school pride.,False,False,True
1306,I want to attend a school known for its career pathways.,False,False,True
1305,I want to interact with multiple international students.,False,False,True
1304,I want an easy admissions process.,False,False,True
1303,"I want supportive, close-knit communities.",False,False,True
1302,I could use financial aid from wealthy schools.,False,False,True
1301,I want a city campus with access to internships.,False,False,True
1300,I'd appreciate cultural opportunities near the university.,False,False,True
1299,I'd prefer a balance of academics and sports activities.,False,False,True
1298,I value strong campus communities.,False,False,True
1297,"I'd enjoy going to many student events, intead of just studying.",False,False,True
1296,I prefer hands-on labs and project-based learning.,False,False,True
1295,I want to study at a big campus with thousands of students.,False,False,True
1293,I want easy access to public transport.,False,False,True
1292,I want affordable tuition options.,False,False,True
1291,I want to be able to choose between a large amount of of majors and programs.,False,False,True
1290,I want to study at a school with strong religious values.,False,False,True
1289,I like using tools to fix things.,False,True,False
1288,I want to design ways to teach people.,False,True,False
1287,I want a career where I can improve public health.,False,True,False
1286,I enjoy studying how power systems work.,False,True,False
1285,I like performing on stage.,False,True,False
1283,I work best under time pressure.,False,True,False
1282,I like going to art exhibitions or musical performances.,False,True,False
1281,I’m curious about why people make certain choices.,False,True,False
1280,I like solving puzzles and logic problems.,False,True,False
1279,I enjoy studying how animals grow and produce food.,False,True,False
1278,I like learning about how humans change genetics of food in farming.,False,True,False
1277,I want to understand what happens behind the scenes in communication apps like Discord or WhatsApp.,False,True,False
1275,I want to improve how companies work.,False,True,False
1274,I’m curious about how chemical reactions are controlled in factories.,False,True,False
1273,I care about values in society.,False,True,False
1271,I’m curious about how machines work and make our lives easier.,False,True,False
1270,I like fixing or building electronic devices.,False,True,False
1269,"I enjoy studying how metals, plastics, and ceramics are used.",False,True,False
1268,I feel comfortable in debates and arguments.,False,True,False
1267,I’m curious about how commercials and ads are created.,False,True,False
1266,I want to make a difference in people’s lives.,False,True,False
1265,I want to help people with mental health problems.,False,True,False
1264,I like watching court and trial videos.,False,True,False
1263,"I rather do something, instead of reading about it.",False,True,False
1262,"I prefer to play in a band, than alone.",False,True,False
1261,I think a whole team is needed to design a big structure.,False,True,False
1260,I want to defend fairness in society.,False,True,False
1259,I like designing new things and testing them.,False,True,False
1258,I like debating about government and politics.,False,True,False
1257,I like coding and creating computer programs.,False,True,False
1256,I like working with people more than with things.,False,True,False
1255,I want to use data to find useful patterns.,False,True,False
1254,I’m curious about space and astronomy.,False,True,False
1253,I like debating rules and rights.,False,True,False
1252,I like solving problems with practical designs.,False,True,False
1251,I want to design better ways to teach.,False,True,False
1250,I like debating different viewpoints.,False,True,False
1248,I enjoy analyzing how people behave in groups.,False,True,False
1247,I want to learn how systems and processes work.,False,True,False
1246,I like writing stories or essays.,False,True,False
1245,I like analyzing events from the past.,False,True,False
1244,I solve math puzzles for fun.,False,True,False
1243,I want to defend fairness and justice.,False,True,False
1242,I like structure and order in society.,False,True,False
1241,I’m curious about what is right and wrong.,False,True,False
1239,I want to learn how to optimize a business.,False,True,False
1238,I want to understand what does it mean to be fair and ethical.,False,True,False
1237,I like teamwork in creative projects.,False,True,False
1236,"I like learning how metals, plastics, or ceramics are made.",False,True,False
1235,I’m curious about designing medical devices for patients.,False,True,False
1234,I want to share ideas with large audiences.,False,True,False
1233,I’m curious about biotechnology in food and farming.,False,True,False
1232,I like exploring how words shape meaning.,False,True,False
1231,I like learning about digital systems.,False,True,False
1230,I like visual design or creative work.,False,True,False
1229,I’d rather hands-on work where I can help directly.,False,True,False
1228,I’m curious about how planes and rockets fly.,False,True,False
1227,I find it interesting to learn about how history shapes today.,False,True,False
1226,I like doing biological lab work.,False,True,False
1225,I find it interesting to learn about exploring different beliefs.,False,True,False
1224,I like creating digital systems like apps or networks.,False,True,False
1223,I like working with electricity and circuits.,False,True,False
1222,I like experiments about motion and physics.,False,True,False
1221,I like working on large construction projects.,False,True,False
1220,I enjoy studying how cells interact with medicine.,False,True,False
1219,I’m curious about energy systems and forces.,False,True,False
1218,I like to follow rules and be fair.,False,True,False
1217,"I like testing the limits of things I build, to see when they break.",False,True,False
